pybullet build time: Nov 28 2023 23:45:17
[train] phase=4 algo=ppo n_envs=8 steps=2,000,000 frame_stack=3 -> runs/phase4_descend_jitter2.5x
pybullet build time: Nov 28 2023 23:45:17
pybullet build time: Nov 28 2023 23:45:17
pybullet build time: Nov 28 2023 23:45:17
pybullet build time: Nov 28 2023 23:45:17
pybullet build time: Nov 28 2023 23:45:17
pybullet build time: Nov 28 2023 23:45:17
pybullet build time: Nov 28 2023 23:45:17
pybullet build time: Nov 28 2023 23:45:17
[train] warm-starting from runs/phase3_ppo_best/model.zip
[train] airspace-height anneal 0.0 -> 1.0 over 50% of training (Task 1b descend-only)
Logging to runs/phase4_descend_jitter2.5x/tb/PPO_2
--------------------------------------
| manipularl/             |          |
|    learning_rate        | 0.0003     |
|    loss                 | 5.59       |
|    n_updates            | 13370      |
|    policy_gradient_loss | -0.0684    |
|    std                  | 3.29       |
|    value_loss           | 22.7       |
----------------------------------------
----------------------------------------
| manipularl/             |            |
|    airspace_height_frac | 0.0205     |
|    collision_rate       | 0.75       |
|    grasp_failure_rate   | 0.82       |
|    insert_depth_mean    | 0          |
|    insert_tilt_deg_mean | 10.9       |
|    success_rate         | 0          |
| rollout/                |            |
|    ep_len_mean          | 51.8       |
|    ep_rew_mean          | -9.08      |
| time/                   |            |
|    fps                  | 446        |
|    iterations           | 5          |
|    time_elapsed         | 45         |
|    total_timesteps      | 20480      |
| train/                  |            |
|    approx_kl            | 0.17376594 |
|    clip_fraction        | 0.474      |
|    clip_range           | 0.2        |
|    entropy_loss         | -17.4      |
|    explained_variance   | 0.202      |
|    learning_rate        | 0.0003     |
|    loss                 | 3.54       |
|    n_updates            | 13380      |
|    policy_gradient_loss | -0.0598    |
|    std                  | 3.3        |
|    value_loss           | 13.8       |
----------------------------------------
----------------------------------------
| manipularl/             |            |
|    airspace_height_frac | 0.0246     |
|    collision_rate       | 0.82       |
|    grasp_failure_rate   | 0.812      |
|    insert_depth_mean    | 0          |
|    insert_tilt_deg_mean | 10.7       |
|    success_rate         | 0          |
| rollout/                |            |
|    ep_len_mean          | 41.1       |
|    ep_rew_mean          | -8.39      |
| time/                   |            |
|    fps                  | 445        |
|    iterations           | 6          |
|    time_elapsed         | 55         |
|    total_timesteps      | 24576      |
| train/                  |            |
|    approx_kl            | 0.17437029 |
|    clip_fraction        | 0.512      |
|    clip_range           | 0.2        |
|    entropy_loss         | -17.4      |
|    explained_variance   | 0.172      |
|    learning_rate        | 0.0003     |
|    loss                 | 3.35       |
|    n_updates            | 13390      |
|    policy_gradient_loss | -0.0642    |
|    std                  | 3.3        |
|    value_loss           | 14.2       |
----------------------------------------
----------------------------------------
| manipularl/             |            |
|    airspace_height_frac | 0.0287     |
|    collision_rate       | 0.85       |
|    grasp_failure_rate   | 0.772      |
|    insert_depth_mean    | 0          |
|    insert_tilt_deg_mean | 12.9       |
|    success_rate         | 0          |
| rollout/                |            |
|    ep_len_mean          | 33.6       |
|    ep_rew_mean          | -7.07      |
| time/                   |            |
|    fps                  | 443        |
|    iterations           | 7          |
|    time_elapsed         | 64         |
|    total_timesteps      | 28672      |
| train/                  |            |
|    approx_kl            | 0.15770154 |
|    clip_fraction        | 0.512      |
|    clip_range           | 0.2        |
|    entropy_loss         | -17.4      |
|    explained_variance   | -0.0544    |
|    learning_rate        | 0.0003     |
|    loss                 | 3.31       |
|    n_updates            | 13400      |
|    policy_gradient_loss | -0.0716    |
|    std                  | 3.31       |
|    value_loss           | 15.2       |
----------------------------------------
----------------------------------------
| manipularl/             |            |
|    airspace_height_frac | 0.0328     |
|    collision_rate       | 0.85       |
|    grasp_failure_rate   | 0.689      |
|    insert_depth_mean    | 0          |
|    insert_tilt_deg_mean | 12.4       |
|    success_rate         | 0          |
| rollout/                |            |
|    ep_len_mean          | 34         |
|    ep_rew_mean          | -7.39      |
| time/                   |            |
|    fps                  | 446        |
|    iterations           | 8          |
|    time_elapsed         | 73         |
|    total_timesteps      | 32768      |
| train/                  |            |
|    approx_kl            | 0.17336136 |
|    clip_fraction        | 0.464      |
|    clip_range           | 0.2        |
|    entropy_loss         | -17.4      |
|    explained_variance   | -0.191     |
|    learning_rate        | 0.0003     |
|    loss                 | 2.26       |
|    n_updates            | 13410      |
|    policy_gradient_loss | -0.072     |
|    std                  | 3.31       |
|    value_loss           | 11.8       |
----------------------------------------
----------------------------------------
| manipularl/             |            |
|    airspace_height_frac | 0.0369     |
|    collision_rate       | 0.9        |
|    grasp_failure_rate   | 0.662      |
|    insert_depth_mean    | 4.76e-05   |
|    insert_tilt_deg_mean | 13.8       |
|    success_rate         | 0          |
| rollout/                |            |
|    ep_len_mean          | 27.8       |
|    ep_rew_mean          | -6.77      |
| time/                   |            |
|    fps                  | 442        |
|    iterations           | 9          |
|    time_elapsed         | 83         |
|    total_timesteps      | 36864      |
| train/                  |            |
|    approx_kl            | 0.20711935 |
|    clip_fraction        | 0.52       |
|    clip_range           | 0.2        |
|    entropy_loss         | -17.4      |
|    explained_variance   | -0.0492    |
|    learning_rate        | 0.0003     |
|    loss                 | 2.58       |
|    n_updates            | 13420      |
|    policy_gradient_loss | -0.0646    |
|    std                  | 3.31       |
|    value_loss           | 11.7       |
----------------------------------------
----------------------------------------
| manipularl/             |            |
|    airspace_height_frac | 0.041      |
|    collision_rate       | 0.85       |
|    grasp_failure_rate   | 0.714      |
|    insert_depth_mean    | 0          |
|    insert_tilt_deg_mean | 12.9       |
|    success_rate         | 0          |
| rollout/                |            |
|    ep_len_mean          | 34.9       |
|    ep_rew_mean          | -7.69      |
| time/                   |            |
|    fps                  | 441        |
|    iterations           | 10         |
|    time_elapsed         | 92         |
|    total_timesteps      | 40960      |
| train/                  |            |
|    approx_kl            | 0.17338292 |
|    clip_fraction        | 0.483      |
|    clip_range           | 0.2        |
|    entropy_loss         | -17.4      |
|    explained_variance   | 0.158      |
|    learning_rate        | 0.0003     |
|    loss                 | 2.44       |
|    n_updates            | 13430      |
|    policy_gradient_loss | -0.0761    |
|    std                  | 3.32       |
|    value_loss           | 11.2       |
----------------------------------------
----------------------------------------
| manipularl/             |            |
|    airspace_height_frac | 0.0451     |
|    collision_rate       | 0.83       |
|    grasp_failure_rate   | 0.778      |
|    insert_depth_mean    | 5.09e-05   |
|    insert_tilt_deg_mean | 8.8        |
|    success_rate         | 0          |
| rollout/                |            |
|    ep_len_mean          | 42.8       |
|    ep_rew_mean          | -8.71      |
| time/                   |            |
|    fps                  | 444        |
|    iterations           | 11         |
|    time_elapsed         | 101        |
|    total_timesteps      | 45056      |
| train/                  |            |
|    approx_kl            | 0.15095092 |
|    clip_fraction        | 0.459      |
|    clip_range           | 0.2        |
|    entropy_loss         | -17.4      |
|    explained_variance   | -0.564     |
|    learning_rate        | 0.0003     |
|    loss                 | 2.22       |
|    n_updates            | 13440      |
|    policy_gradient_loss | -0.0765    |
|    std                  | 3.32       |
|    value_loss           | 11.3       |
----------------------------------------
----------------------------------------
| manipularl/             |            |
|    airspace_height_frac | 0.0492     |
|    collision_rate       | 0.83       |
|    grasp_failure_rate   | 0.804      |
|    insert_depth_mean    | 0          |
|    insert_tilt_deg_mean | 10.6       |
|    success_rate         | 0          |
| rollout/                |            |
|    ep_len_mean          | 39         |
|    ep_rew_mean          | -8.56      |
| time/                   |            |
|    fps                  | 444        |
|    iterations           | 12         |
|    time_elapsed         | 110        |
|    total_timesteps      | 49152      |
| train/                  |            |
|    approx_kl            | 0.16790907 |
|    clip_fraction        | 0.468      |
|    clip_range           | 0.2        |
|    entropy_loss         | -17.4      |
|    explained_variance   | -0.214     |
|    learning_rate        | 0.0003     |
|    loss                 | 2.77       |
|    n_updates            | 13450      |
|    policy_gradient_loss | -0.0718    |
|    std                  | 3.32       |
|    value_loss           | 12.1       |
----------------------------------------
---------------------------------------
| manipularl/             |           |
|    airspace_height_frac | 0.0532    |
|    collision_rate       | 0.83      |
|    grasp_failure_rate   | 0.72      |
|    insert_depth_mean    | 0         |
|    insert_tilt_deg_mean | 14.4      |
|    success_rate         | 0         |
| rollout/                |           |
|    ep_len_mean          | 45.2      |
|    ep_rew_mean          | -9.77     |
| time/                   |           |
|    fps                  | 446       |
|    iterations           | 13        |
|    time_elapsed         | 119       |
|    total_timesteps      | 53248     |
| train/                  |           |
|    approx_kl            | 0.1754627 |
|    clip_fraction        | 0.469     |
|    clip_range           | 0.2       |
|    entropy_loss         | -17.4     |
|    explained_variance   | -0.0512   |
|    learning_rate        | 0.0003    |
|    loss                 | 2.33      |
|    n_updates            | 13460     |
|    policy_gradient_loss | -0.0763   |
|    std                  | 3.33      |
|    value_loss           | 11.4      |
---------------------------------------
----------------------------------------
| manipularl/             |            |
|    airspace_height_frac | 0.0573     |
|    collision_rate       | 0.82       |
|    grasp_failure_rate   | 0.76       |
|    insert_depth_mean    | 0.00124    |
|    insert_tilt_deg_mean | 12.3       |
|    success_rate         | 0          |
| rollout/                |            |
|    ep_len_mean          | 40.7       |
|    ep_rew_mean          | -7.18      |
| time/                   |            |
|    fps                  | 446        |
|    iterations           | 14         |
|    time_elapsed         | 128        |
|    total_timesteps      | 57344      |
| train/                  |            |
|    approx_kl            | 0.12218191 |
|    clip_fraction        | 0.423      |
|    clip_range           | 0.2        |
|    entropy_loss         | -17.4      |
|    explained_variance   | -0.152     |
|    learning_rate        | 0.0003     |
|    loss                 | 3.23       |
|    n_updates            | 13470      |
|    policy_gradient_loss | -0.0729    |
|    std                  | 3.33       |
|    value_loss           | 14.3       |
----------------------------------------
----------------------------------------
| manipularl/             |            |
|    airspace_height_frac | 0.0614     |
|    collision_rate       | 0.85       |
|    grasp_failure_rate   | 0.753      |
|    insert_depth_mean    | 0          |
|    insert_tilt_deg_mean | 10.6       |
|    success_rate         | 0          |
| rollout/                |            |
|    ep_len_mean          | 39.4       |
|    ep_rew_mean          | -7.81      |
| time/                   |            |
|    fps                  | 447        |
|    iterations           | 15         |
|    time_elapsed         | 137        |
|    total_timesteps      | 61440      |
| train/                  |            |
|    approx_kl            | 0.20431465 |
|    clip_fraction        | 0.484      |
|    clip_range           | 0.2        |
|    entropy_loss         | -17.4      |
|    explained_variance   | -0.182     |
|    learning_rate        | 0.0003     |
|    loss                 | 1.64       |
|    n_updates            | 13480      |
|    policy_gradient_loss | -0.0785    |
|    std                  | 3.34       |
|    value_loss           | 8.87       |
----------------------------------------
----------------------------------------
| manipularl/             |            |
|    airspace_height_frac | 0.0655     |
|    collision_rate       | 0.92       |
|    grasp_failure_rate   | 0.751      |
|    insert_depth_mean    | 0          |
|    insert_tilt_deg_mean | 9.26       |
|    success_rate         | 0          |
| rollout/                |            |
|    ep_len_mean          | 31.5       |
|    ep_rew_mean          | -8.18      |
| time/                   |            |
|    fps                  | 444        |
|    iterations           | 16         |
|    time_elapsed         | 147        |
|    total_timesteps      | 65536      |
| train/                  |            |
|    approx_kl            | 0.19445348 |
|    clip_fraction        | 0.5        |
|    clip_range           | 0.2        |
|    entropy_loss         | -17.4      |
|    explained_variance   | 0.0989     |
|    learning_rate        | 0.0003     |
|    loss                 | 2.05       |
|    n_updates            | 13490      |
|    policy_gradient_loss | -0.0762    |
|    std                  | 3.35       |
|    value_loss           | 8.99       |
----------------------------------------
-----------------------------------------
| manipularl/             |             |
|    airspace_height_frac | 0.0696      |
|    collision_rate       | 0.91        |
|    grasp_failure_rate   | 0.766       |
|    insert_depth_mean    | 0           |
|    insert_tilt_deg_mean | 9.66        |
|    success_rate         | 0           |
| rollout/                |             |
|    ep_len_mean          | 28.7        |
|    ep_rew_mean          | -6.38       |
| time/                   |             |
|    fps                  | 440         |
|    iterations           | 17          |
|    time_elapsed         | 157         |
|    total_timesteps      | 69632       |
| train/                  |             |
|    approx_kl            | 0.117538884 |
|    clip_fraction        | 0.448       |
|    clip_range           | 0.2         |
|    entropy_loss         | -17.4       |
|    explained_variance   | -0.413      |
|    learning_rate        | 0.0003      |
|    loss                 | 3.76        |
|    n_updates            | 13500       |
|    policy_gradient_loss | -0.0676     |
|    std                  | 3.36        |
|    value_loss           | 14.7        |
-----------------------------------------
----------------------------------------
| manipularl/             |            |
|    airspace_height_frac | 0.0737     |
|    collision_rate       | 0.88       |
|    grasp_failure_rate   | 0.77       |
|    insert_depth_mean    | 0          |
|    insert_tilt_deg_mean | 11.2       |
|    success_rate         | 0          |
| rollout/                |            |
|    ep_len_mean          | 32.1       |
|    ep_rew_mean          | -7.1       |
| time/                   |            |
|    fps                  | 438        |
|    iterations           | 18         |
|    time_elapsed         | 168        |
|    total_timesteps      | 73728      |
| train/                  |            |
|    approx_kl            | 0.19032356 |
|    clip_fraction        | 0.491      |
|    clip_range           | 0.2        |
|    entropy_loss         | -17.4      |
|    explained_variance   | -0.0938    |
|    learning_rate        | 0.0003     |
|    loss                 | 2.27       |
|    n_updates            | 13510      |
|    policy_gradient_loss | -0.0868    |
|    std                  | 3.37       |
|    value_loss           | 10.4       |
----------------------------------------
----------------------------------------
| manipularl/             |            |
|    airspace_height_frac | 0.0778     |
|    collision_rate       | 0.83       |
|    grasp_failure_rate   | 0.766      |
|    insert_depth_mean    | 0          |
|    insert_tilt_deg_mean | 11.7       |
|    success_rate         | 0          |
| rollout/                |            |
|    ep_len_mean          | 37.7       |
|    ep_rew_mean          | -7.44      |
| time/                   |            |
|    fps                  | 437        |
|    iterations           | 19         |
|    time_elapsed         | 178        |
|    total_timesteps      | 77824      |
| train/                  |            |
|    approx_kl            | 0.20326203 |
|    clip_fraction        | 0.511      |
|    clip_range           | 0.2        |
|    entropy_loss         | -17.4      |
|    explained_variance   | -0.183     |
|    learning_rate        | 0.0003     |
|    loss                 | 1.96       |
|    n_updates            | 13520      |
|    policy_gradient_loss | -0.0846    |
|    std                  | 3.38       |
|    value_loss           | 9.09       |
----------------------------------------
----------------------------------------
| manipularl/             |            |
|    airspace_height_frac | 0.0819     |
|    collision_rate       | 0.84       |
|    grasp_failure_rate   | 0.76       |
|    insert_depth_mean    | 0          |
|    insert_tilt_deg_mean | 11.7       |
|    success_rate         | 0          |
| rollout/                |            |
|    ep_len_mean          | 42.6       |
|    ep_rew_mean          | -8.9       |
| time/                   |            |
|    fps                  | 437        |
|    iterations           | 20         |
|    time_elapsed         | 187        |
|    total_timesteps      | 81920      |
| train/                  |            |
|    approx_kl            | 0.15246132 |
|    clip_fraction        | 0.458      |
|    clip_range           | 0.2        |
|    entropy_loss         | -17.4      |
|    explained_variance   | -0.267     |
|    learning_rate        | 0.0003     |
|    loss                 | 2.03       |
|    n_updates            | 13530      |
|    policy_gradient_loss | -0.0764    |
|    std                  | 3.39       |
|    value_loss           | 9.47       |
----------------------------------------
----------------------------------------
| manipularl/             |            |
|    airspace_height_frac | 0.086      |
|    collision_rate       | 0.84       |
|    grasp_failure_rate   | 0.758      |
|    insert_depth_mean    | 0          |
|    insert_tilt_deg_mean | 8.88       |
|    success_rate         | 0          |
| rollout/                |            |
|    ep_len_mean          | 39.7       |
|    ep_rew_mean          | -8.5       |
| time/                   |            |
|    fps                  | 435        |
|    iterations           | 21         |
|    time_elapsed         | 197        |
|    total_timesteps      | 86016      |
| train/                  |            |
|    approx_kl            | 0.18678719 |
|    clip_fraction        | 0.515      |
|    clip_range           | 0.2        |
|    entropy_loss         | -17.4      |
|    explained_variance   | -0.192     |
|    learning_rate        | 0.0003     |
|    loss                 | 2.27       |
|    n_updates            | 13540      |
|    policy_gradient_loss | -0.0809    |
|    std                  | 3.39       |
|    value_loss           | 9.32       |
----------------------------------------
----------------------------------------
| manipularl/             |            |
|    airspace_height_frac | 0.0901     |
|    collision_rate       | 0.8        |
|    grasp_failure_rate   | 0.722      |
|    insert_depth_mean    | 0          |
|    insert_tilt_deg_mean | 9.29       |
|    success_rate         | 0          |
| rollout/                |            |
|    ep_len_mean          | 41.6       |
|    ep_rew_mean          | -8.4       |
| time/                   |            |
|    fps                  | 437        |
|    iterations           | 22         |
|    time_elapsed         | 206        |
|    total_timesteps      | 90112      |
| train/                  |            |
|    approx_kl            | 0.15844852 |
|    clip_fraction        | 0.474      |
|    clip_range           | 0.2        |
|    entropy_loss         | -17.4      |
|    explained_variance   | -0.0809    |
|    learning_rate        | 0.0003     |
|    loss                 | 1.81       |
|    n_updates            | 13550      |
|    policy_gradient_loss | -0.0829    |
|    std                  | 3.39       |
|    value_loss           | 7.92       |
----------------------------------------
----------------------------------------
| manipularl/             |            |
|    airspace_height_frac | 0.0942     |
|    collision_rate       | 0.86       |
|    grasp_failure_rate   | 0.716      |
|    insert_depth_mean    | 0          |
|    insert_tilt_deg_mean | 10.7       |
|    success_rate         | 0          |
| rollout/                |            |
|    ep_len_mean          | 31.2       |
|    ep_rew_mean          | -7.19      |
| time/                   |            |
|    fps                  | 438        |
|    iterations           | 23         |
|    time_elapsed         | 214        |
|    total_timesteps      | 94208      |
| train/                  |            |
|    approx_kl            | 0.21483858 |
|    clip_fraction        | 0.524      |
|    clip_range           | 0.2        |
|    entropy_loss         | -17.4      |
|    explained_variance   | 0.189      |
|    learning_rate        | 0.0003     |
|    loss                 | 1.54       |
|    n_updates            | 13560      |
|    policy_gradient_loss | -0.0826    |
|    std                  | 3.39       |
|    value_loss           | 7.25       |
----------------------------------------
----------------------------------------
| manipularl/             |            |
|    airspace_height_frac | 0.0983     |
|    collision_rate       | 0.83       |
|    grasp_failure_rate   | 0.77       |
|    insert_depth_mean    | 0          |
|    insert_tilt_deg_mean | 7.93       |
|    success_rate         | 0          |
| rollout/                |            |
|    ep_len_mean          | 40.6       |
|    ep_rew_mean          | -8.53      |
| time/                   |            |
|    fps                  | 439        |
|    iterations           | 24         |
|    time_elapsed         | 223        |
|    total_timesteps      | 98304      |
| train/                  |            |
|    approx_kl            | 0.21379042 |
|    clip_fraction        | 0.49       |
|    clip_range           | 0.2        |
|    entropy_loss         | -17.4      |
|    explained_variance   | 0.0567     |
|    learning_rate        | 0.0003     |
|    loss                 | 1.64       |
|    n_updates            | 13570      |
|    policy_gradient_loss | -0.0819    |
|    std                  | 3.4        |
|    value_loss           | 7.93       |
----------------------------------------
----------------------------------------
| manipularl/             |            |
|    airspace_height_frac | 0.102      |
|    collision_rate       | 0.85       |
|    grasp_failure_rate   | 0.785      |
|    insert_depth_mean    | 0.000632   |
|    insert_tilt_deg_mean | 11.1       |
|    success_rate         | 0.01       |
| rollout/                |            |
|    ep_len_mean          | 35         |
|    ep_rew_mean          | -6.74      |
| time/                   |            |
|    fps                  | 440        |
|    iterations           | 25         |
|    time_elapsed         | 232        |
|    total_timesteps      | 102400     |
| train/                  |            |
|    approx_kl            | 0.18946274 |
|    clip_fraction        | 0.471      |
|    clip_range           | 0.2        |
|    entropy_loss         | -17.4      |
|    explained_variance   | 0.255      |
|    learning_rate        | 0.0003     |
|    loss                 | 1.48       |
|    n_updates            | 13580      |
|    policy_gradient_loss | -0.0795    |
|    std                  | 3.41       |
|    value_loss           | 7.41       |
----------------------------------------
----------------------------------------
| manipularl/             |            |
|    airspace_height_frac | 0.106      |
|    collision_rate       | 0.75       |
|    grasp_failure_rate   | 0.807      |
|    insert_depth_mean    | 0          |
|    insert_tilt_deg_mean | 11.9       |
|    success_rate         | 0          |
| rollout/                |            |
|    ep_len_mean          | 53.3       |
|    ep_rew_mean          | -10.2      |
| time/                   |            |
|    fps                  | 443        |
|    iterations           | 26         |
|    time_elapsed         | 240        |
|    total_timesteps      | 106496     |
| train/                  |            |
|    approx_kl            | 0.16743675 |
|    clip_fraction        | 0.505      |
|    clip_range           | 0.2        |
|    entropy_loss         | -17.4      |
|    explained_variance   | 0.103      |
|    learning_rate        | 0.0003     |
|    loss                 | 3.03       |
|    n_updates            | 13590      |
|    policy_gradient_loss | -0.0545    |
|    std                  | 3.41       |
|    value_loss           | 12.1       |
----------------------------------------
----------------------------------------
| manipularl/             |            |
|    airspace_height_frac | 0.111      |
|    collision_rate       | 0.85       |
|    grasp_failure_rate   | 0.805      |
|    insert_depth_mean    | 0          |
|    insert_tilt_deg_mean | 10.6       |
|    success_rate         | 0          |
| rollout/                |            |
|    ep_len_mean          | 33.6       |
|    ep_rew_mean          | -7.59      |
| time/                   |            |
|    fps                  | 443        |
|    iterations           | 27         |
|    time_elapsed         | 249        |
|    total_timesteps      | 110592     |
| train/                  |            |
|    approx_kl            | 0.16594201 |
|    clip_fraction        | 0.47       |
|    clip_range           | 0.2        |
|    entropy_loss         | -17.5      |
|    explained_variance   | 0.394      |
|    learning_rate        | 0.0003     |
|    loss                 | 1.84       |
|    n_updates            | 13600      |
|    policy_gradient_loss | -0.0805    |
|    std                  | 3.42       |
|    value_loss           | 8.04       |
----------------------------------------
----------------------------------------
| manipularl/             |            |
|    airspace_height_frac | 0.115      |
|    collision_rate       | 0.9        |
|    grasp_failure_rate   | 0.76       |
|    insert_depth_mean    | 0          |
|    insert_tilt_deg_mean | 10.2       |
|    success_rate         | 0          |
| rollout/                |            |
|    ep_len_mean          | 26.1       |
|    ep_rew_mean          | -6.63      |
| time/                   |            |
|    fps                  | 442        |
|    iterations           | 28         |
|    time_elapsed         | 259        |
|    total_timesteps      | 114688     |
| train/                  |            |
|    approx_kl            | 0.25995365 |
|    clip_fraction        | 0.515      |
|    clip_range           | 0.2        |
|    entropy_loss         | -17.5      |
|    explained_variance   | 0.221      |
|    learning_rate        | 0.0003     |
|    loss                 | 1.93       |
|    n_updates            | 13610      |
|    policy_gradient_loss | -0.0733    |
|    std                  | 3.43       |
|    value_loss           | 7.84       |
----------------------------------------
----------------------------------------
| manipularl/             |            |
|    airspace_height_frac | 0.119      |
|    collision_rate       | 0.83       |
|    grasp_failure_rate   | 0.764      |
|    insert_depth_mean    | 0          |
|    insert_tilt_deg_mean | 11.3       |
|    success_rate         | 0          |
| rollout/                |            |
|    ep_len_mean          | 40.4       |
|    ep_rew_mean          | -8.93      |
| time/                   |            |
|    fps                  | 443        |
|    iterations           | 29         |
|    time_elapsed         | 267        |
|    total_timesteps      | 118784     |
| train/                  |            |
|    approx_kl            | 0.14329451 |
|    clip_fraction        | 0.437      |
|    clip_range           | 0.2        |
|    entropy_loss         | -17.5      |
|    explained_variance   | 0.0489     |
|    learning_rate        | 0.0003     |
|    loss                 | 2.68       |
|    n_updates            | 13620      |
|    policy_gradient_loss | -0.0557    |
|    std                  | 3.44       |
|    value_loss           | 11.8       |
----------------------------------------
----------------------------------------
| manipularl/             |            |
|    airspace_height_frac | 0.123      |
|    collision_rate       | 0.91       |
|    grasp_failure_rate   | 0.735      |
|    insert_depth_mean    | 0          |
|    insert_tilt_deg_mean | 12         |
|    success_rate         | 0          |
| rollout/                |            |
|    ep_len_mean          | 27.5       |
|    ep_rew_mean          | -6.91      |
| time/                   |            |
|    fps                  | 444        |
|    iterations           | 30         |
|    time_elapsed         | 276        |
|    total_timesteps      | 122880     |
| train/                  |            |
|    approx_kl            | 0.18978035 |
|    clip_fraction        | 0.472      |
|    clip_range           | 0.2        |
|    entropy_loss         | -17.5      |
|    explained_variance   | 0.273      |
|    learning_rate        | 0.0003     |
|    loss                 | 1.72       |
|    n_updates            | 13630      |
|    policy_gradient_loss | -0.0736    |
|    std                  | 3.46       |
|    value_loss           | 7.97       |
----------------------------------------
---------------------------------------
| manipularl/             |           |
|    airspace_height_frac | 0.127     |
|    collision_rate       | 0.77      |
|    grasp_failure_rate   | 0.745     |
|    insert_depth_mean    | 0         |
|    insert_tilt_deg_mean | 14.2      |
|    success_rate         | 0         |
| rollout/                |           |
|    ep_len_mean          | 49.2      |
|    ep_rew_mean          | -9.57     |
| time/                   |           |
|    fps                  | 445       |
|    iterations           | 31        |
|    time_elapsed         | 284       |
|    total_timesteps      | 126976    |
| train/                  |           |
|    approx_kl            | 0.2088797 |
|    clip_fraction        | 0.503     |
|    clip_range           | 0.2       |
|    entropy_loss         | -17.5     |
|    explained_variance   | 0.159     |
|    learning_rate        | 0.0003    |
|    loss                 | 1.68      |
|    n_updates            | 13640     |
|    policy_gradient_loss | -0.0779   |
|    std                  | 3.48      |
|    value_loss           | 7.85      |
---------------------------------------
----------------------------------------
| manipularl/             |            |
|    airspace_height_frac | 0.131      |
|    collision_rate       | 0.8        |
|    grasp_failure_rate   | 0.784      |
|    insert_depth_mean    | 0          |
|    insert_tilt_deg_mean | 8.89       |
